iter	Passed	Remaining
776	870	249
777	871	248
778	873	247
779	874	246
780	875	245
781	876	244
782	876	243
783	877	241
784	878	240
785	880	239
786	882	238
787	883	237
788	884	236
789	885	235
790	885	234
791	888	233
792	889	232
793	892	231
794	893	230
795	894	229
796	895	228
797	896	226
798	897	225
799	898	224
800	899	223
801	900	222
802	902	221
803	903	220
804	904	219
805	905	218
806	906	216
807	907	215
808	908	214
809	909	213
810	910	212
811	911	211
812	912	209
813	913	208
814	913	207
815	914	206
816	915	205
817	922	205
818	923	204
819	924	203
820	925	201
821	926	200
822	927	199
823	928	198
824	929	197
825	929	195
826	933	195
827	936	194
828	939	193
829	940	192
830	941	191
831	943	190
832	943	189
833	944	188
834	945	186
835	946	185
836	947	184
837	948	183
838	949	182
839	950	181
840	951	179
841	952	178
842	953	177
843	954	176
844	955	175
845	956	174
846	956	172
847	957	171
848	958	170
849	959	169
850	960	168
851	961	166
852	962	165
853	964	164
854	966	163
855	967	162
856	968	161
857	969	160
858	970	159
859	971	158
860	971	156
861	972	155
862	973	154
863	973	153
864	974	152
865	975	150
866	975	149
867	976	148
868	977	147
869	978	146
870	979	145
871	980	143
872	980	142
873	981	141
874	982	140
875	982	139
876	983	137
877	984	136
878	984	135
879	985	134
880	986	133
881	986	132
882	987	130
883	988	129
884	988	128
885	989	127
886	990	126
887	990	124
888	991	123
889	992	122
890	993	121
891	994	120
892	995	119
893	996	118
894	996	116
895	997	115
896	998	114
897	998	113
898	999	112
899	1000	111
900	1000	109
901	1001	108
902	1002	107
903	1003	106
904	1003	105
905	1004	104
906	1004	103
907	1005	101
908	1006	100
909	1006	99
910	1007	98
911	1008	97
912	1010	96
913	1011	95
914	1011	94
915	1012	92
916	1013	91
917	1013	90
918	1014	89
919	1015	88
920	1015	87
921	1016	86
922	1017	84
923	1017	83
924	1018	82
925	1019	81
926	1019	80
927	1020	79
928	1021	78
929	1022	76
930	1023	75
931	1024	74
932	1025	73
933	1026	72
934	1026	71
935	1027	70
936	1028	69
937	1029	68
938	1029	66
939	1030	65
940	1031	64
941	1031	63
942	1032	62
943	1032	61
944	1033	60
945	1034	59
946	1035	57
947	1036	56
948	1037	55
949	1038	54
950	1039	53
951	1041	52
952	1042	51
953	1043	50
954	1043	49
955	1044	48
956	1045	46
957	1045	45
958	1046	44
959	1047	43
960	1048	42
961	1048	41
962	1049	40
963	1049	39
964	1050	38
965	1051	37
966	1052	35
967	1053	34
968	1054	33
969	1056	32
970	1057	31
971	1057	30
972	1058	29
973	1059	28
974	1059	27
975	1060	26
976	1061	24
977	1061	23
978	1062	22
979	1063	21
980	1063	20
981	1064	19
982	1065	18
983	1065	17
984	1066	16
985	1067	15
986	1068	14
987	1069	12
988	1070	11
989	1072	10
990	1073	9
991	1074	8
992	1075	7
993	1076	6
994	1077	5
995	1078	4
996	1079	3
997	1080	2
998	1080	1
999	1081	0
